,Title,Journal,Publication Date,Cited by,Abstract
11,"Skin Cancer Prevention Behaviors Among Agricultural and Construction Workers in the United States, 2015",Preventing chronic disease,2019 Feb 7,,"Introduction:                       Nearly 5 million people are treated for skin cancer each year in the United States. Agricultural and construction workers (ACWs) may be at increased risk for skin cancer because of high levels of ultraviolet radiation exposure from the sun. This is the first study that uses nationally representative data to assess sun-protection behaviors among ACWs.                  Methods:                       We analyzed data from the 2015 National Health Interview Survey Cancer Control Supplement to examine the prevalence of sun-protection behaviors among ACWs. We calculated national, weighted, self-reported prevalence estimates. We used χ2 tests to assess differences between ACWs by industry and occupation.                  Results:                       Most of the 2,298 agricultural and construction workers studied were male (by industry, 72.4% in agriculture and 89.3% in construction; by occupation, 66.1% in agriculture and 95.6% in construction) and non-Hispanic white. About one-third had at least 1 sunburn in the past year. The prevalence of sunscreen use and shade seeking was low and did not significantly differ among groups, ranging from 15.1% to 21.4% for sunscreen use and 24.5% to 29.1% for shade seeking. The prevalence of wearing protective clothing was significantly higher among agricultural workers than among construction workers by industry (70.9% vs 50.7%) and occupation (70.5% vs 53.0%).                  Conclusion:                       Our findings could be used to improve occupational health approaches to reducing skin cancer risk among ACWs and to inform education and prevention initiatives addressing skin cancer. Sun-safety initiatives may include modifying work sites to increase shade and adding sun safety to workplace policies and training. Employers can help reduce occupational health inequities and protect workers by creating workplaces that facilitate sun protection."
12,Communication of Ergonomics in building and construction,"Work (Reading, Mass.)",2012,,"For the coming years SWEA is planning for communication and information actions. One of the sectors concerned is the building and construction industry. Focus of the information is to avoid accidents and injuries, and how companies by themselves can prevent risks. The objective of the information is to increase awareness among all stakeholders in order to secure that they are willing and able to reduce risks for workers. At the conference two brochures will be presented. They are designed to provide information and knowledge about specific risks of occupational accidents and occupational diseases which occur frequently during construction work and how they can be prevented. They are directed to all those who are involved in the construction process at different stages and who are subject to SWEAs rules and regulations. New identified risk groups are e.g. students, apprentices, self-employed, and foreign workers temporarily working in Sweden. We also see that work is still being carried out in narrow installation spaces during erection stage of buildings because the people responsible for the drawings do not take notice of the need for sufficient space to do the work. SWEA experienced that it is difficult to reach all the groups concerned with the message about how to avoid injuries and unnecessary musculoskeletal disorders."
13,Upper-Extremity Physical-Performance Tests in College Athletes,Journal of sport rehabilitation,2016 May,,"Context:                       Physical-performance tests (PPTs) are commonly used in rehabilitation and injury-prevention settings, yet normative values of upper-extremity PPTs have not been established in high-level athletes.                  Objective:                       To establish normative data values for the Closed Kinetic Chain Upper-Extremity Stability Test (CKCUEST) and Upper-Quarter Y-Balance Test (UQYBT) in college athletes and compare results between sports and to analyze the relationship between the 2 tests.                  Design:                       Observational.                  Setting:                       Laboratory/athletic facility.                  Participants:                       257 (118 male, 139 female) Division I athletes participating in basketball, soccer, baseball, lacrosse, volleyball, track and field, and cross-country.                  Intervention:                       CKCUEST and UQYBT scores were recorded as part of a comprehensive injury-risk screening battery.                  Main outcome measure:                       Pearson correlations assessed the relationship between all measures of the CKCUEST and UQYBT. A factorial ANOVA and a repeated-measures ANOVA (arm dominance) were used to assess interactions between sex, year in school, and sport for CKCUEST and UQYBT scores.                  Results:                       Normative values for the CKCUEST and UQYBT were established for 9 men's and women's college sports. No significant relationships were found between PPT scores. Men scored significantly higher than women for the CKCUEST (P = .002) and UQYBT (P = .010). Baseball players scored significantly higher than athletes from all other sports for the UQYBT (P < .001) but showed nonsignificant trends of lower scores for the CKCUEST than lower-extremity-dominant athletes such as runners (P = .063) and lacrosse players (P = .058).                  Conclusions:                       Results suggest that average CKCUEST and UQYBT scores in Division I athletes are distinct from those previously reported in recreationally active populations and that performance differences exist between sexes and sports. In addition, the CKCUEST and UQYBT appear to measure different constructs of performance and may complement each other as part of a screening battery."
14,Are regulations effective in reducing construction injuries? An analysis of the Italian context,Occupational and environmental medicine,2013 Sep,,"Objectives:                       At the end of the 1990s, as required by European Directive 92/57/EEC, two laws were enacted in Italy which laid down safety and health requirements for construction sites: Decree 494/96 and Decree 528/99. The aim is to evaluate the impact on injury rates due to actions performed by a group of eight regions that planned formalised programmes to enforce the laws around the year 2000.                  Methods:                       Using the Work History Italian Panel-Salute integrated database, which extends from 1994 to 2005, total and serious injury rates were calculated for the construction sector. An interrupted time series analysis was applied to serious injury rates.                  Results:                       During the 12 years under observation, at the national level the total and serious injury rates decreased while the number of employees increased. The results of the regression models indicate that in the period after the intervention the injury rates (×10 000 weeks worked) decreased by 0.21 per year more than in the period before the intervention (CI -0.41 to -0.01). The difference in pre-post trends is even larger after adjusting for external factors.                  Conclusions:                       The intervention plans developed to enforce the two Italian decrees had an effect on the reduction in injury rates. The results showed that there was a decrease in injury rates that could not be explained by external factors. These findings highlight the importance of concrete initiatives to have employers and workers comply with regulatory safety standards."
15,Detecting destabilizing wheelchair conditions for maintaining seated posture,Disability and rehabilitation. Assistive technology,2018 Feb,,"Purpose:                       The purpose of this study was to detect and classify potentially destabilizing conditions encountered by manual wheelchair users with spinal cord injuries (SCI) to dynamically increase stability and prevent falls.                  Methods:                       A volunteer with motor complete T11 paraplegia repeatedly propelled his manual wheelchair over level ground and simulated destabilizing conditions including sudden stops, bumps and rough terrain. Wireless inertial measurement units attached to the wheelchair frame and his sternum recorded associated accelerations and angular velocities. Algorithms based on mean, standard deviation and minimum Mahalanobis distance between conditions were constructed and applied to the data off-line to discriminate between events. Classification accuracy was computed to assess effects of sensor position and potential for automatically selecting a dynamic intervention to best stabilize the wheelchair user.                  Results:                       The decision algorithm based on acceleration signals successfully differentiated destabilizing conditions and level over-ground propulsion with classification accuracies of 95.8, 58.3 and 91.7% for the chest, wheelchair and both sensors, respectively.                  Conclusion:                       Mahalanobis distance classification based on trunk accelerations is a feasible method for detecting destabilizing events encountered by wheelchair users and may serve as an effective trigger for protective interventions. Incorporating data from wheelchair-mounted sensors decreases the false negative rate. Implications for Rehabilitation SCI has a significant impact on quality of life, compromising the ability to participate in social or leisure activities, and complete other activities of daily living for an independent lifestyle. Using inertial measurement units to build an event classifier for control the actions of a neuroprosthetic device for maintaining seated posture in wheelchair users. Varying muscle activation increases user stability reducing the risk of injury."
16,Psychometric properties of the psychosocial screening instrument for physical trauma patients (PSIT),Health and quality of life outcomes,2019 Nov 12,,"Background:                       Early detection of psychosocial problems post-injury may prevent them from becoming chronic. Currently, there is no psychosocial screening instrument that can be used in patients surviving a physical trauma or injury. Therefore, we recently developed a psychosocial screening instrument for adult physical trauma patients, the PSIT. The aim of this study was to finalize and psychometrically examine the PSIT.                  Methods:                       All adult (≥ 18 years) trauma patients admitted to a Dutch level I trauma center from October 2016 through September 2017 without severe cognitive disorders (n = 1448) received the PSIT, Impact of Events Scale-Revised (IES-R), Patient Health Questionnaire-9 (PHQ-9), Rosenberg Self-Esteem Scale (RSES), State-Trait Anxiety Inventory-State (STAI-S), and the World Health Organization Quality of Life-Abbreviated version (WHOQOL-Bref). After 2 weeks, a subgroup of responding participants received the PSIT a second time. The internal structure (principal components analysis, PCA; and confirmatory factor analysis, CFA), internal consistency (Cronbach's alpha, α), test-retest reliability (Intraclass Correlation Coefficient, ICC), construct validity (Spearman's rho correlations), diagnostic accuracy (Area Under the Curve, AUC), and potential cut-off values (sensitivity and specificity) were examined.                  Results:                       A total of 364 (25.1%) patients participated, of whom 128 completed the PSIT again after 19.5 ± 6.8 days. Test-retest reliability was good (ICC = 0.86). Based on PCA, five items were removed because of cross-loadings ≥ 0.3. Three subscales were identified: (1) Negative affect (7 items; α = 0.91; AUC = 0.92); (2) Anxiety and Post-Traumatic Stress Symptoms (4 items; α = 0.77; AUC = 0.88); and (3) Social and self-image (4 items; α = 0.79; AUC = 0.92). CFA supported this structure (comparative fit index = 0.96; root mean square error of approximation = 0.06; standardized rood mean square residual = 0.04). Four of the five a priori formulated hypotheses regarding construct validity were confirmed. The following cut-off values represent maximum sensitivity and specificity: 7 on subscale 1 (89.6% and 83.4%), 3 on subscale 2 (94.4% and 90.3%), and 4 on subscale 3 (85.7% and 90.7%).                  Conclusion:                       The final PSIT has good psychometric properties in adult trauma patients."
17,Rural-urban differences in children’s musculosceletal injuries in north-eastern Poland,Przeglad epidemiologiczny,2019,,"Objective:                       To investigate rural-urban differences in severity of injuries, by means of age, sex and duration of hospitalization of injured children in northeastern Poland.                  Methods:                       The study included children admitted to the Department of Pediatric Orthopaedics and Traumatology in between 2002-2005 (1322 patients) and 2012-2013 (1725 patients) due to injury. We applied the rural-urban division on the base of number of inhabitants (rural – below, urban – over 25000). We divided injuries into four categories based on severity. Statistical analysis was performed to compare the risk of hospitalization due to different types of injuries among children in different age and sex groups, living in rural and urban areas                  Results:                       Children from urban areas have a higher risk of hospitalization compared to their peers living in rural areas due to two least severe categories of injuries. Children from rural areas had much higher risk of hospitalization due to most severe injuries. Results were consistent for both time intervals.. The average duration of hospitalization was significantly longer among rural populations. However, in both rural and urban areas the mean length of stay has been shortened in comparison with the years 2002-2005. The average age of urban patients has been reduced over the years and remained stable among rural population. In both groups boys comprised the majority of patients with all kinds of injuries.                  Conclusions:                       Analysis of the risk of hospitalization among children from rural and urban areas brings constructive conclusions only after applying the division based on severity of injuries. Children living in rural areas and small towns are at a higher risk of suffering severe injuries that pose a risk of permanent disability, and of longer hospitalization because of them, compared to children living in larger cities."
18,"Fatal traumatic brain injuries in the construction industry, 2003-2010",American journal of industrial medicine,2016 Mar,,"Background:                       Research on fatal work-related traumatic brain injuries (TBIs) is limited. This study describes fatal TBIs in the US construction industry.                  Methods:                       Fatal TBIs were extracted from the Bureau of Labor Statistics Census of Fatal Occupational Injuries.                  Results:                       From 2003 to 2010, 2,210 fatal TBIs occurred in construction at a rate of 2.6 per 100,000 full-time equivalent (FTE) workers. Workers aged 65 years and older had the highest fatal TBI rates among all workers (7.9 per 100,000 FTE workers). Falls were the most frequent injury event (n = 1,269, 57%). Structural iron and steel workers and roofers had the highest fatal TBI rate per 100,000 FTE workers (13.7 and 11.2, respectively). Fall-related TBIs were the leading cause of death in these occupations.                  Conclusions:                       A large percentage of TBIs in the construction industry were due to falls. Emphasis on safety interventions is needed to reduce these fall-related TBIs, especially among vulnerable workers."
19,[Construction of Management System Using Application Software for X-ray Protective Clothing Management],Nihon Hoshasen Gijutsu Gakkai zasshi,2019,,"We jointly developed dedicated application with protective clothing manufacturers for the purpose of improving the diagnostic X-ray protective clothing inspection record and visualization of quality control. Also, we clearly distributed roles and responsibilities for managing protective clothing. Visualization of quality control could be realized by using a tablet as an inspection recording device. By establishing the criteria for unified X-ray protective clothing inspection, we were able to establish the X-ray protective clothing update procedure."
20,Evidence for quality indicators to evaluate adult trauma care: a systematic review,Critical care medicine,2011 Apr,,"Objective:                       Multiple quality indicators are available to evaluate adult trauma care, but their characteristics and outcomes have not been systematically compared. We sought to systematically review the evidence about the reliability, validity, and implementation of quality indicators for evaluating trauma care.                  Data sources:                       Search of MEDLINE, EMBASE, CINAHL, and The Cochrane Library up to January 14, 2009; the Gray Literature; select journals by hand; reference lists; and articles recommended by experts in the field.                  Study selection:                       Studies were selected that evaluated the reliability, validity, or the impact of one or more quality indicators on the quality of care delivered to patients ≥ 18 yrs of age with a major traumatic injury.                  Data extraction:                       Reviewers with methodologic and content expertise conducted data extraction independently.                  Data synthesis:                       The literature search identified 6869 citations. Review of abstracts led to the retrieval of 538 full-text articles for assessment; 40 articles were selected for review. Of these, 20 (50%) articles were cohort studies and 13 (33%) articles were case series. Five articles used control groups, including three before and after case series, a case-control study, and a nonrandomized controlled trial. A total of 115 quality indicators in adult trauma care was identified, predominantly measures of hospital processes (62%) and outcomes (17%) of care. We did not identify any posthospital or secondary injury prevention quality indicators. Reliability was described for two quality indicators, content validity for 22 quality indicators, construct validity for eight quality indicators, and criterion validity for 46 quality indicators. A total of 58 quality indicators was implemented and evaluated in three studies. Eight quality indicators had supporting evidence for more than one measurement domain. A single quality indicator, peer review for preventable death, had both reliability and validity evidence.                  Conclusions:                       Although many quality indicators are available to measure the quality of trauma care, reliability evidence, validity evidence, and description of outcomes after implementation are limited."
21,Orofacial trauma awareness among sports teachers in Southern Saudi Arabia,Nigerian journal of clinical practice,2020 Mar,,"Background:                       Dental trauma is a major public oral health problem owing to its high prevalence. The school sports teachers who observe children when they participate in sports have a key role in the prevention and management of traumatic injuries. The present study aims to determine the awareness of sports teachers on the occurrence and prevention of oral-facial trauma in southern Saudi Arabia.                  Methods:                       The present study was a cross-sectional study design among sports teachers in a southern subpopulation of Saudi Arabia. A draft questionnaire with 11 items was constructed under three domains: occurrence pattern, prevention, and management of dental trauma.                  Results:                       A total of 191 sports teachers from various schools participated in the survey. The majority (88%) of the teachers had encountered orofacial trauma among children during sporting activity in schools. The most common orofacial structure involved in injury was the teeth (33.5%) and lips (25.2%). Only 50.8% of subjects knew stock tray as a type of mouthguard and 27.7% of teachers responded that they do not recommend mouthguards for children during sporting activities. Nearly 80.6% teachers were aware of the possibility of reimplanting an avulsed tooth. About 72.8% teachers had poor knowledge of immediate action necessary for successful outcomes of reimplanted teeth.                  Conclusions:                       Orofacial trauma was commonly encountered by sports teachers among children during sporting activities in the school. There was poor awareness regarding types of mouth guards and its significance among the sports school teachers. The knowledge related to the management of emergency oral injuries was inadequate."
22,Frostbites in circumpolar areas,Global health action,2011,,"Circumpolar areas are associated with prolonged cold exposure where wind, precipitation, and darkness further aggravate the environmental conditions and the associated risks. Despite the climate warming, cold climatic conditions will prevail in circumpolar areas and contribute to adverse health effects. Frostbite is a freezing injury where localized damage affects the skin and other tissues. It occurs during occupational or leisure-time activities and is common in the general population among men and women of various ages. Industries of the circumpolar areas where frostbite occurs frequently include transportation, mining, oil, and gas industry, construction, agriculture, and military operations. Cold injuries may also occur during leisure-time activities involving substantial cold exposure, such as mountaineering, skiing, and snowmobiling. Accidental situations (occupational, leisure time) often contribute to adverse cooling and cold injuries. Several environmental (temperature, wind, wetness, cold objects, and altitude) and individual (behavior, health, and physiology) predisposing factors are connected with frostbite injuries. Vulnerable populations include those having a chronic disease (cardiovascular, diabetes, and depression), children and the elderly, or homeless people. Frostbite results in sequelae causing different types of discomfort and functional limitations that may persist for years. A frostbite injury is preventable, and hence, unacceptable from a public health perspective. Appropriate cold risk management includes awareness of the adverse effects of cold, individual adjustment of cold exposure and clothing, or in occupational context different organizational and technical measures. In addition, vulnerable population groups need customized information and care for proper prevention of frostbites."
23,In Search of Concrete Outcomes-A Systematic Review on the Effectiveness of Educational Interventions on Reducing Acute Occupational Injuries,International journal of environmental research and public health,2020 Sep 20,,"Education is a common strategy used to prevent occupational injuries. However, its effectiveness is often measured using surrogate measures instead of true injury outcomes. To evaluate the effectiveness of workplace educational interventions, we selectively analyzed studies that reported injury outcomes (PROSPERO ID: CRD42019140631). We searched databases for peer-reviewed journal articles and sources of grey literature such as abstracts, registered trials, and theses published between 2000 and 2019. Studies on educational interventions that reported fatal or non-fatal occupational injury outcomes were selected. Two reviewers independently and in duplicate screened the studies, extracted data, and assessed risk of bias. Heterogeneity in the data precluded meta-analysis, and the results were reviewed narratively. In total, 35 studies were included. Of which, 17 found a significant reduction in injuries, most of which featured a multifaceted approach or non-didactic education. The remaining studies either described equivocal results or did not report statistical significance. Overall, interventions in the manufacturing industry were more effective than those in the construction sector. Risk of bias among included studies was moderate to high. In conclusion, educational interventions could be an effective part of multifaceted injury prevention programs. However, over-reliance on didactic education alone is not advised."
