,Title,Journal,Abstract
11,"""To have and then lose the safety net"" - Female cancer survivors' experiences of the process of becoming ready to return to work","Work (Reading, Mass.)","Background:                       Validation studies have not been able to confirm the stage-specific understanding as operationalised in the readiness for return to work (RRTW) questionnaire.                  Objective:                       To explore retrospectively how working female cancer survivors experienced the process of becoming ready to RTW during and beyond participation in an occupational rehabilitation intervention and thereby expand the understanding of the RRTW construct.                  Methods:                       A qualitative research design was employed. Thirteen female cancer survivors were included for semi-structured interviews one to two years after they had completed active treatment and returned to work. The RRTW construct guided data generation and analysis. Content analysis was performed in four analytical steps that combined a concept-driven and a data-driven analytic strategy.                  Results:                       Three themes were identified; ""To have and then lose the safety net"", ""Realise a changed life situation"", ""Strive to balance work and everyday life"". In a time span of approximately one to two years (from receiving treatment, being enrolled in an intervention and to gradually returning to work); the identified themes were interdependent of each other as one theme gradually evolved to the next theme in the process of engaging in sustained work participation.                  Conclusions:                       The present study points towards continuous development of the RRTW construct and whether the addition of a preparedness dimension would improve validity."
12,Is there agreement between worker self and supervisor assessment of worker safety performance? An examination in the construction industry,Journal of safety research,"Introduction:                       Individual safety performance (behavior) critically influences safety outcomes in high-risk workplaces. Compared to the study of generic work performance on different measurements, few studies have investigated different measurements of safety performance, typically relying on employees' self-reflection of their safety behavior. This research aims to address this limitation by including worker self-reflection and other (i.e., supervisor) assessment of two worker safety performance dimensions, safety compliance and safety participation.                  Method:                       A sample of 105 workers and 17 supervisors in 17 groups in the Chinese construction industry participated in this study. Comparisons were made between worker compliance and participation in each measurement, and between workers' and supervisors' assessment of workers' compliance and participation. Multilevel modeling was adopted to test the moderating effects on the worker self-reflection and supervisor-assessment relationship by group safety climate and the work experience of supervisors.                  Results:                       Higher levels of safety compliance than participation were found for self-reflection and supervisor assessment. The discrepancy between the two measurements in each safety performance dimension was significant. The work experience of supervisors attenuated the discrepancy between self- and supervisor-assessment of compliance. Contrary to our expectations, the moderating effect of group safety climate was not supported.                  Conclusions:                       The discrepancy between worker self- and supervisor-assessment of worker safety performance, thus, suggests the importance of including alternative measurements of safety performance in addition to self-reflection. Lower levels of participation behavior in both raters suggest more research on the motivators of participatory behavior. Practical applications The discrepancy between different raters can lead to negative reactions of ratees, suggesting that managers should be aware of that difference. Assigning experienced supervisors as raters can be effective at mitigating interrater discrepancy and conflicts in the assessment of compliance behavior."
13,Beyond ConCA: Rethinking causality and construction accidents,Applied ergonomics,"The construction industry takes an orthodox approach to safety: Finding root causes, quantifying risk, and often blaming frontline workers. However, safety has reached a plateau and the limitations of this approach are starting to be acknowledged. A sociotechnical systems approach (as applied in the ConCA model) presents new opportunities to understand accident causation by linking immediate accident circumstances with the distal shaping and originating influences. 32 construction safety managers, consultants, and experts contributed their views regarding the hazards of construction (both human and physical) and the difficulties managing these. The findings provide an insight into the work of construction safety managers and their decision making which is influenced by industry-wide pressures and worker attributes over physical hazards. Construction suffers from a wide range of pressures; a combination of both top-down, from the client, and bottom-up challenges from the workforce it attracts. The original ConCA model has been revised to reflect the findings. By applying systems thinking, the relationships between negative perceptions of workers' risk-taking and these challenges can be crystallised. The results support integrating safety into primary activities to increase engagement, learning legacies to transfer knowledge between projects, multi-disciplinary teams to raise risk awareness, empowerment to combat their feelings of dissatisfaction and disloyalty, and collaboration in risk management to incorporate workers' expertise and ensure they feel valued."
14,"The associations between work-life balance behaviours, teamwork climate and safety climate: cross-sectional survey introducing the work-life climate scale, psychometric properties, benchmarking data and future directions",BMJ quality & safety,"Background:                       Improving the resiliency of healthcare workers is a national imperative, driven in part by healthcare workers having minimal exposure to the skills and culture to achieve work-life balance (WLB). Regardless of current policies, healthcare workers feel compelled to work more and take less time to recover from work. Satisfaction with WLB has been measured, as has work-life conflict, but how frequently healthcare workers engage in specific WLB behaviours is rarely assessed. Measurement of behaviours may have advantages over measurement of perceptions; behaviours more accurately reflect WLB and can be targeted by leaders for improvement.                  Objectives:                       1. To describe a novel survey scale for evaluating work-life climate based on specific behavioural frequencies in healthcare workers.2. To evaluate the scale's psychometric properties and provide benchmarking data from a large healthcare system.3. To investigate associations between work-life climate, teamwork climate and safety climate.                  Methods:                       Cross-sectional survey study of US healthcare workers within a large healthcare system.                  Results:                       7923 of 9199 eligible healthcare workers across 325 work settings within 16 hospitals completed the survey in 2009 (86% response rate). The overall work-life climate scale internal consistency was Cronbach α=0.790. t-Tests of top versus bottom quartile work settings revealed that positive work-life climate was associated with better teamwork climate, safety climate and increased participation in safety leadership WalkRounds with feedback (p<0.001). Univariate analysis of variance demonstrated differences that varied significantly in WLB between healthcare worker role, hospitals and work setting.                  Conclusions:                       The work-life climate scale exhibits strong psychometric properties, elicits results that vary widely by work setting, discriminates between positive and negative workplace norms, and aligns well with other culture constructs that have been found to correlate with clinical outcomes."
15,Linking Challenge-Hindrance Stressors to Safety Outcomes and Performance: A Dual Mediation Model for Construction Workers,International journal of environmental research and public health,"Occupational stressors have long been recognized as an important risk factor for injury accidents. The mechanisms underlying the relationships among challenge stressors, hindrance stressors, safety outcomes (occupational injuries), emotional experiences (attentiveness), and job performance (task performance) were investigated from the perspectives of the challenge-hindrance stress model and the conservation of resources theory. This study collected multi-source data over two timepoints for 105 safety supervisors and 379 construction workers in China. Results revealed that both challenge and hindrance stressors were positively related to occupational injuries, but only challenge stressors were positively associated with attentiveness. In addition, occupational injuries mediated the relationship between both challenge and hindrance stressors and task performance, while attentiveness mediated only the relationship between challenge stressors and task performance. These findings contribute to our knowledge of stress management in the construction project context and provide recommendations for stress management for front-line workers at construction sites."
16,"Protecting Construction Worker Health and Safety in Ontario, Canada: Identifying a Union Safety Effect",Journal of occupational and environmental medicine,"Objectives:                       Do Ontario unionized construction firms have lower workers' compensation claims rates compared with nonunion firms?                  Methods:                       Building trade and construction trade association lists of union contractors were linked to Workplace Safety and Insurance Board claims data for 2006 to 2012. Data were pooled for 2006 to 2012, and negative binomial regressions conducted with adjustment to estimate a union safety effect.                  Results:                       The sample included 5797 unionized and 38,626 nonunion construction firms. Total claims rates were 13% higher (1.13, 1.09 to 1.18) in unionized firms because of higher allowed no-lost-time claim rates (1.28, 1.23 to 1.34), whereas the lost-time claims rate was 14% lower (0.86, 0.82 to 0.91).                  Conclusions:                       Unionized construction firms compared with nonunion firms have higher no-lost-time and lower lost-time claims rates. Unionized firms may encourage occupational injury reporting and reduce risks through training and hazard identification and control strategies."
17,Safety early warning research for highway construction based on case-based reasoning and variable fuzzy sets,TheScientificWorldJournal,"As a high-risk subindustry involved in construction projects, highway construction safety has experienced major developments in the past 20 years, mainly due to the lack of safe early warnings in Chinese construction projects. By combining the current state of early warning technology with the requirements of the State Administration of Work Safety and using case-based reasoning (CBR), this paper expounds on the concept and flow of highway construction safety early warnings based on CBR. The present study provides solutions to three key issues, index selection, accident cause association analysis, and warning degree forecasting implementation, through the use of association rule mining, support vector machine classifiers, and variable fuzzy qualitative and quantitative change criterion modes, which fully cover the needs of safe early warning systems. Using a detailed description of the principles and advantages of each method and by proving the methods' effectiveness and ability to act together in safe early warning applications, effective means and intelligent technology for a safe highway construction early warning system are established."
18,Degrees of connectivity: Systems model for upstream risk assessment and mitigation,Accident; analysis and prevention,"There is growing recognition that in order to further improve safety performance, attention needs to be given beyond the immediate working conditions and worker actions. A systems approach to construction safety enables considering: multiple project elements simultaneously; connections between different elements; and all system elements affected by safety risk. This paper describes recent and current research to conceptualize a typical building project in terms of connections between workers, activities, and design elements, and to verify and analyze impacts of the design and worker interactions on worker safety. Prior research provides the basis for a network tying the design elements, construction activities, and work crews on a typical building project together along with the extent of interaction between each of the system elements in terms of safety. In conjunction with this systems approach, the researchers propose a concept for viewing and managing construction safety through four different types of connections, or ""degrees of connectivity,"" between the different workers, activities, and design elements in the system. The degrees of connectivity are defined as: interacting with the design element during its construction (DoC #1); interacting with the design element in its final form to attach another component to it (DoC #2) or by working in the vicinity of it (DoC #3); and indirectly interacting with the design element through another worker (DoC #4). To support and verify the presence of the concept in practice, the researchers conducted a survey of construction personnel. The survey results confirm that the four different degrees of connectivity are present and felt during construction operations, and indicate that attention should be given to all design elements, activities, and workers to which a worker is ""connected"". According to the survey respondents, DoC's #1 and #2 are recognized as the most widely present on construction sites. Eighty percent of the respondents believe that the design element has a moderate or greater impact on worker safety while it is being constructed. These initial research steps provide the starting point for continuing study that aims to develop and demonstrate the degrees of connectivity concept linking workers and design elements, with the goal of understanding how to design a project and work operations in order to improve safety during construction."
19,Young worker safety in construction: do family ties and workgroup size affect hazard exposures and safety practices?,"Work (Reading, Mass.)","Objective:                       Little is known about how social aspects of the work environment influence exposures or safety practices affecting young construction workers. Our objective was to investigate whether working on a construction site with a small number of workers (≤10 vs. 11-50) or having a family-firm connection (working in a family-owned firm or one in which a family member also works) impacts hazard exposures and safety practices.                  Participants:                       Participants included 187 North Carolina construction workers 14 to 17 years old who were surveyed about their jobs.                  Methods:                       We conducted stratified analyses using cross-tabulations and chi-square statistics to measure associations between workgroup size (i.e., the total number of workers on a jobsite) and family-firm connections (yes/no) and hazard exposures (e.g., saws) and safety practices (e.g., supervision).                  Results:                       Having a family-firm connection was associated with fewer hazard exposures and greater safety practices. Youth who worked on jobsites with a larger workgroup (11-50 workers) reported more hazards but also more safety practices.                  Conclusions:                       Family-firm connections, in particular, may have a protective effect for youth in construction. Even though the statistical significance of our findings on workgroup size was limited in places, the pattern of differences found suggest that further research in this area is warranted."
20,Participatory Training to Improve Safety and Health in Small Construction Sites in Some Countries in Asia: Development and Application of the WISCON Training Program,New solutions : a journal of environmental and occupational health policy : NS,"A participatory training program, Work Improvement in Small Construction Sites, was developed to provide practical support measures to the small construction sector. Managers and workers from selected small sites were interviewed about their occupational safety and health risks. The Work Improvement in Small Construction Sites training program comprised a 45-item action checklist, photos, and illustrations showing local examples and group work methods. Pilot training workshops were carried out with workers and employers in Cambodia, Laos, Mongolia, Thailand, and Vietnam. Participants subsequently planned, and using locally available low-cost materials, implemented their own improvements such as hand-made hand trucks to carry heavy materials, removal of projecting nails from timber materials, and fences to protect roof workers from falling. Local Work Improvement in Small Construction Sites trainers consisting of government officials, workers, employers, and nongovernment organization representatives were then trained to implement the Work Improvement in Small Construction Sites training widely. Keys to success were easy-to-apply training tools aiming at immediate, low-cost improvements, and collaboration with various local people's networks."
21,Smart Glasses-Based Personnel Proximity Warning System for Improving Pedestrian Safety in Construction and Mining Sites,International journal of environmental research and public health,"A smart glasses-based wearable personnel proximity warning system (PWS) was developed for pedestrian safety in construction and mining sites. The smart glasses receive signals transmitted by Bluetooth beacons attached to heavy equipment or vehicles, with the proximity determined by the signal strength. A visual alert is displayed to the wearer when in close proximity. The media access control address of the Bluetooth beacon provides information on the approaching equipment or vehicle, which is displayed to the wearer so that they can respond appropriately. There was a detection distance of at least 10 m regardless of the direction the pedestrian was looking and the alert was successful in all 40 trials at ≥10 meters. The subjective workload was evaluated using the NASA task load index on ten subjects, either without a personal PWS, with a smartphone-based PWS, or with the smart glasses-based PWS. The mental, temporal, and physical stresses were lowest when using the smart glasses-based PWS. Smart glasses-based PWSs can improve work efficiency by freeing both hands of the pedestrians, and various functions can be supported through application development. Therefore, they are particularly useful for pedestrian safety in construction and mining sites."
22,What does safety commitment mean to leaders? A multi-method investigation,Journal of safety research,"Introduction:                       Perceived management safety commitment as an aspect of safety climate or culture is a key influence on safety outcomes in organizations. What is unclear is how perceptions of management commitment are created by leaders.                  Method:                       To address this gap in the literature, we position safety commitment as a leadership construct viewed from the perspectives of the leaders who experience and demonstrate it. In this paper, an established multidimensional commitment framework is applied to leaders' safety commitment (consisting of affective, normative, and calculative commitment). Via an exploratory sequential mixed methods design combining interviews (n = 40) and surveys (n = 89), we investigate the applicability of this theoretical conceptualization to safety commitment.                  Results:                       The results indicate the multiple dimensions captured leaders' safety commitment well, safety commitment can be demonstrated via a range of behaviors, and the dimensions' association with behavioral demonstrations aligned with those of other types of commitment reported in the literature. Only affective safety commitment was consistently associated with demonstrations of safety commitment. The link between high levels of affective and normative safety commitment and demonstrations was more pronounced when participants perceived their company's safety climate more positively.                  Conclusions:                       Adopting a focus on leaders' experience of safety commitment offers opportunities for new research into the way in which safety commitment perceptions are shaped by leaders. Practical application: The findings can support leaders' reflection about their personal mindset around safety and support them in fostering strong safety climates and cultures. It further encourages organizations in creating work environments that in particular foster affective and normative safety commitments in leaders."
23,"Practical Judgment of Workload Based on Physical Activity, Work Conditions, and Worker's Age in Construction Site","Sensors (Basel, Switzerland)","It is important for construction companies to sustain a productive workforce without sacrificing its health and safety. This study aims to develop a practical judgement method to estimate the workload risk of individual construction workers. Based on studies, we developed a workload model comprising a hygrothermal environment, behavioral information, and the physical characteristics of workers). The construction workers' heart rate and physical activity were measured using the data collected from a wearable device equipped with a biosensor and an acceleration sensor. This study is the first report to use worker physical activity, age, and the wet bulb globe temperature (WBGT) to determine a worker's physical workload. The accuracy of this health risk judgment result was 89.2%, indicating that it is possible to easily judge the health risk of workers even in an environment where it is difficult to measure the subject in advance. The proposed model and its findings can aid in monitoring the health impacts of working conditions during construction activities, and thereby contribute toward determining workers' health damage. However, the sampled construction workers are 12 workers, further studies in other working conditions are required to accumulate more evidence and assure the accuracy of the models."
24,A study of the shift in fatal construction work-related accidents during 2012-2019 in Turkey,International journal of occupational safety and ergonomics : JOSE,"Objectives. The construction sector is one of the sectors with the highest number of occupational accidents and diseases in the world in terms of working conditions. According to the 'Communiqué on Occupational Hazard Classes on Occupational Health and Safety' related to Occupational Health and Safety Law No. 6331, the construction sector is considered a 'very dangerous works' class. Methods. Occupational accidents that occurred between 2012 and 2019 are examined according to occupational groups, working environments, etc. Feature importance and Kendall, Pearson and Spearman correlations were used for analysis. Results. From the studies, it is determined that fatal accidents in the construction sector in Turkey are caused by falling from height with a high rate. When the correlation values were examined, it was determined that the column 'accident type' had a negative relationship with the 'injured part of the body' and a positive relationship with the 'accident environment' column. Conclusion. A total 51% of 3517 fatal accidents examined occurred in the construction of buildings. Most deaths in the construction sector in Turkey are caused by falling from height, like many countries (41.6%). Statistics shows that despite the relevant regulations, the construction sector in Turkey is seen as a weak safety culture."
25,Accident factors per construction type and stage: a synthesis of scientific research and professional experience,International journal of injury control and safety promotion,"Following manufacturing, construction is the industry that is responsible for the majority of work-related accidents due to the complexity and uniqueness of each construction site. The accidents that occur on construction sites reflect the safety culture and the general health and safety (H&S) policy in the construction field. The purpose of this paper is to investigate the frequency of accidents and their contributing factors in each stage of 9 different types of construction. This paper utilizes data from published scientific literature to extract the universal contributing factors to be evaluated in the Greek construction industry and to compare results with documented international accidents. The riskiest construction stages per construction type and the main factors behind them are determined. The results show contradictions regarding the contributing factors as perceived by Greek professionals and those verified by international real accident data."
26,Construction managers' perceptions of construction safety practices in small and large firms: a qualitative investigation,"Work (Reading, Mass.)","Background and goals:                       Despite the institution of explicit safety practices in construction, there continue to be exceedingly high rates of morbidity and mortality from work-related injury. This study's purpose was to identify, compare and contrast views of construction managers from large and small firms regarding construction safety practices. A complementary analysis was conducted with construction workers.                  Methods:                       A semi-structured interview guide was used to elicit information from construction managers (n = 22) in a series of focus groups. Questions were designed to obtain information on direct safety practices and indirect practices such as communication style, attitude, expectations, and unspoken messages. Data were analyzed using thematic content analysis.                  Results:                       Managers identified a broad commitment to safety, worker training, a changing workplace culture, and uniform enforcement as key constructs in maintaining safe worksites. Findings indicate that successful managers need to be involved, principled, flexible, and innovative. Best practices, as well as unsuccessful injury prevention programs, were discussed in detail. Obstacles to consistent safety practice include poor training, production schedules and financial constraints.                  Conclusions:                       Construction managers play a pivotal role in the definition and implementation of safety practices in the workplace. In order to succeed in this role, they require a wide variety of management skills, upper management support, and tools that will help them instill and maintain a positive safety culture. Developing and expanding management skills of construction managers may assist them in dealing with the complexity of the construction work environment, as well as providing them with the tools necessary to decrease work-related injuries."
27,A qualitative study of what care workers do to provide patient safety at home through telecare,BMC health services research,"Background:                       In health care, the work of keeping the patient safe and reducing the risk of harm is defined as safety work. In our digitised and technology-rich era, safety work usually involves a relationship between people and technologies. Telecare is one of the fastest-growing technology-domains in western health care systems. In the marketing of telecare, the expectation is that safety is implicit simply by the presence of technology in patients' homes. Whilst both researchers and health authorities are concerned with developing cost-benefit analyses and measuring effects, there is a lack of attention to the daily work needed to ensure that technologies contribute to patient safety. This paper aims to describe how patient safety in home care is addressed through and with telecare. We base our exploration on the social alarm, an established technology that care workers are expected to handle as an integrated part of their ordinary work.                  Methods:                       The study has a qualitative explorative design where we draw on empirical data from three case studies, involving five Norwegian municipalities that use social alarm systems in home care services. We analyse observations of practice and interviews with the actors involved, following King's outline of template analysis.                  Results:                       We identified three co-existing work processes that contributed to patient safety: ""Aligning people and technologies""; ""Being alert and staying calm""; and ""Coordinating activities based on people and technology"". Attention to these work processes exposes safety practices, and how safety is constructed in relational practices involving multiple people and technologies.                  Conclusions:                       We conclude that the three work processes identified are essential if the safety alarm is to function for the end user's safety. The safety of home-dwelling patients is reliant on the person-technology interface. The efforts of care workers and their interface with technology are a central feature of creating safety in a patient's home, and in doing so, they utilise a repertoire of skills and knowledge."
28,A review of models relevant to road safety,Accident; analysis and prevention,"It is estimated that more than 1.2 million people die worldwide as a result of road traffic crashes and some 50 million are injured per annum. At present some Western countries' road safety strategies and countermeasures claim to have developed into 'Safe Systems' models to address the effects of road related crashes. Well-constructed models encourage effective strategies to improve road safety. This review aimed to identify and summarise concise descriptions, or 'models' of safety. The review covers information from a wide variety of fields and contexts including transport, occupational safety, food industry, education, construction and health. The information from 2620 candidate references were selected and summarised in 121 examples of different types of model and contents. The language of safety models and systems was found to be inconsistent. Each model provided additional information regarding style, purpose, complexity and diversity. In total, seven types of models were identified. The categorisation of models was done on a high level with a variation of details in each group and without a complete, simple and rational description. The models identified in this review are likely to be adaptable to road safety and some of them have previously been used. None of systems theory, safety management systems, the risk management approach, or safety culture was commonly or thoroughly applied to road safety. It is concluded that these approaches have the potential to reduce road trauma."
29,Protocol for a mixed-methods study on leader-based interventions in construction contractors' safety commitments,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,"Background:                       Owing to high injury rates, safety interventions are needed in the construction industry. Evidence-based interventions tailored to this industry are, however, scarce. Leader-based safety interventions have proven more effective than worker-based interventions in other industries.                  Objective:                       To test a leader-based safety intervention for construction sites. The intervention consists of encouraging safety coordinators to provide feedback on work safety to the client and line management. The intention is to increase communication and interactions regarding safety within the line management and between the client and the senior management. It is hypothesised that this, in turn, will lead to increased communication and interaction about safety between management and coworkers as well as an increased on-site safety level.                  Setting:                       A group-randomised double-blinded case study of six Danish construction sites (three intervention sites and three control sites). The recruitment of the construction sites is performed continuously from January 2010 to June 2010. The investigation of each site lasts 20 continuous weeks.                  Methods:                       Confirmatory statistical analysis is used to test if the safety level increased, and if the probability of safety communications between management and coworkers increases as a consequence of the intervention. The data collection will be blinded. Qualitative methods are used to evaluate if communication and interactions about safety at all managerial levels, including the client, increase.                  Outcome measures:                       (1) The proportion of safety-related communications out of all studied communications between management and coworkers. (2) The safety level index of the construction sites."
