,source,published,title,abstract,type,scrapper,label,query_date,query_pattern
10,ETF Express,"Wed, 14 Sep 2022 07:00:00 GMT","BlackRock and Qontigo's recent collaboration: iShares multi-factor ETFs track STOXX indices to deliver consistent, risk-managed exposure for a portfolio's core - ETF Express",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
11,RESPA News,"Thu, 15 Sep 2022 18:40:32 GMT",Manufactured Housing Supply and Financing featuring HUD and FHA webinar - RESPA News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
12,Forbes,"Wed, 07 Sep 2022 07:00:00 GMT",How Much Does It Cost To Buy A Mobile Home? - Forbes,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
13,The Journal News,"Tue, 13 Sep 2022 07:00:00 GMT",Job fair for Mount Vernon residents kicks off new city employment initiative - The Journal News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
14,Mondaq,"Thu, 22 Sep 2022 11:31:50 GMT",China-Mauritius Free Trade Agreement: Opportunities For Trade In Services - International Trade & Investment - Mauritius - Mondaq,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
15,The Citizen,"Thu, 15 Sep 2022 07:00:00 GMT",Sixty Tanzanians benefit from South Korean scholarships - The Citizen,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
16,EIN News,"Wed, 21 Sep 2022 17:40:00 GMT",Manufactured Housing Association for Regulatory Reform Spotlights Years of Manufactured Home - EIN News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
17,Rochester Beacon,"Mon, 12 Sep 2022 07:00:00 GMT",Clinton Crossings complex gets $71.5 million offer - Rochester BeaconRochester Beacon - Rochester Beacon,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
18,NASCAR on NBC Sports,"Wed, 07 Sep 2022 07:00:00 GMT",Drivers to watch in NASCAR Cup Series race at Kansas Speedway - NASCAR on NBC Sports,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
19,Defector,"Thu, 01 Sep 2022 07:00:00 GMT",The Padres Have A Month To Avoid Humiliation - Defector,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
20,Terre Haute Tribune Star,"Tue, 13 Sep 2022 07:00:00 GMT",High Demand: WorkOne seeks to help women entering workforce - Terre Haute Tribune Star,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
21,Modern Ghana,"Fri, 09 Sep 2022 07:00:00 GMT",African Countries' Growing Relations With China: A Legacy Of Real Development Or Hopelessness? - Modern Ghana,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
22,Investment Week,"Fri, 02 Sep 2022 07:00:00 GMT",T. Rowe Price's Vohora: Own your career - Investment Week,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
23,Deccan Herald,"Sun, 04 Sep 2022 07:00:00 GMT",Assam police ask private madrasas to upload all details - Deccan Herald,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
24,ARTnews,"Mon, 26 Sep 2022 19:10:00 GMT",Authorship & Authority: The Contested Origins of Dakar’s African Renaissance Monument - ARTnews,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
25,Marketscreener.com,"Fri, 23 Sep 2022 19:23:13 GMT","Legacy Housing : Quarterly Report for Quarter Ending June 30, 2022 (Form 10-Q) - Marketscreener.com",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
26,Benzinga,"Wed, 28 Sep 2022 21:05:00 GMT",Fastenal Company Announces Conference Call to Review 2022 Third Quarter Earnings - Fastenal (NASDAQ:FAST) - Benzinga,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
27,New Jersey 101.5 FM,"Tue, 13 Sep 2022 07:00:00 GMT","Speed limiters being considered in NY, should never happen in NJ (Opinion) - New Jersey 101.5 FM",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
28,taosnews,"Thu, 22 Sep 2022 14:26:20 GMT",Success Story: Custom Homes with a Sustainable Blueprint - taosnews,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
29,New Jersey 101.5 FM,"Wed, 07 Sep 2022 07:00:00 GMT",Former Barnegat man identified as killer in 1991 NJ cold case - New Jersey 101.5 FM,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
30,Zacks Investment Research,"Thu, 15 Sep 2022 12:25:45 GMT",4 Business-Software Services Stocks to Watch in a Challenging Industry - Zacks Investment Research,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-09-29+after:2022-09-01
31,Construction News,"Wed, 10 Aug 2022 07:00:00 GMT",Lighthouse Club joins HSE mental health campaign - Construction News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
32,BDC Magazine,"Wed, 24 Aug 2022 07:00:00 GMT",Warning: The consequences of EHS negligence in construction - BDC Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
33,JD Supra,"Mon, 15 Aug 2022 07:00:00 GMT",Proposed Changes to Manufactured Home Construction and Safety Standards - JD Supra,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
34,GlobeNewswire,"Mon, 22 Aug 2022 07:00:00 GMT","Construction Robotics Market Size is projected to reach USD 164 Million by 2030, growing at a CAGR of 14%: Straits Research - GlobeNewswire",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
35,The Murray Valley Standard,"Wed, 24 Aug 2022 07:00:00 GMT",Qld premier hits out at CFMEU protest - The Murray Valley Standard,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
36,GoErie.com,"Thu, 25 Aug 2022 07:00:00 GMT","City of Erie shuts down Frontier Park slides citing safety, possible lawsuits - GoErie.com",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
37,Khmer Times,"Thu, 11 Aug 2022 07:00:00 GMT","One worker killed, another injured in scaffolding collapse - Khmer Times",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-08-31+after:2022-08-01
38,Engineering News-Record,"Tue, 05 Jul 2022 07:00:00 GMT",Balancing Old Safety Thinking and New - Engineering News-Record,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
39,Safety+Health Magazine,"Wed, 20 Jul 2022 07:00:00 GMT",COVID-19 and construction: CPWR report highlights pandemic's impacts - Safety+Health Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
40,Engineering News-Record,"Tue, 19 Jul 2022 07:00:00 GMT","How the ""New Safety View"" Could Work In Contruction - Engineering News-Record",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
41,HUD,"Tue, 19 Jul 2022 07:00:00 GMT",HUD Proposes Updates to Manufactured Home Construction and Safety Standards - HUD,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
42,Business Up North,"Tue, 12 Jul 2022 07:00:00 GMT",Wharton Construction receives awards for health and safety excellence - Business Up North,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
43,ABC News,"Tue, 05 Jul 2022 07:00:00 GMT","Perth the most expensive place to build in Australia, Turner and Townsend survey finds - ABC News",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
44,Engineering News-Record,"Fri, 15 Jul 2022 07:00:00 GMT",Disrupting The Status Quo - Engineering News-Record,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
45,HUD User,"Mon, 25 Jul 2022 07:00:00 GMT",The HUD Offsite Construction Research Roadmap | HUD USER - HUD User,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-07-31+after:2022-07-01
46,CNA,"Thu, 23 Jun 2022 07:00:00 GMT",Improve workplace safety at smaller construction firms and projects to prevent deaths: Manpower Minister - CNA,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
47,Occupational Health and Safety,"Fri, 24 Jun 2022 07:00:00 GMT",Watch Your Step: Best Practices to Mitigate Fall Risks on Worksites - Occupational Health and Safety,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
48,Bloomberg Law,"Wed, 01 Jun 2022 07:00:00 GMT",Builders Veer to New Hard Hat Designs to Stem Worker Head Trauma - Bloomberg Law,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
49,The Colorado Sun,"Fri, 03 Jun 2022 07:00:00 GMT",Colorado summit highlights high suicide rate in the construction industry - The Colorado Sun,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
50,WXOW.com,"Tue, 07 Jun 2022 01:01:50 GMT",Safety reminders for busy road construction season | News - WXOW.com,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
51,Contractor Magazine,"Fri, 17 Jun 2022 07:00:00 GMT",AI is Transforming the Construction Industry | Contractor - Contractor Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
52,OnFocus,"Mon, 13 Jun 2022 07:00:00 GMT",Safety Improvements to State Highway 97 Scheduled to Begin This Summer - OnFocus,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-06-30+after:2022-06-01
53,Safety+Health Magazine,"Fri, 06 May 2022 07:00:00 GMT",NYC buildings official challenges construction stakeholders to strengthen safety - Safety+Health Magazine,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
54,Daily Commercial News,"Mon, 02 May 2022 07:00:00 GMT",Safety Week 2022 emphasizes building back connections - constructconnect.com - Daily Commercial News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
55,Building,"Wed, 11 May 2022 07:00:00 GMT",Is construction moving fast enough on building safety? - Building,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
56,The Construction Specifier,"Mon, 16 May 2022 07:00:00 GMT",Shawmut's Safety Week aimed at mental wellness alongside physical safety - Construction Specifier - The Construction Specifier,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
57,TAPinto.net,"Wed, 18 May 2022 07:00:00 GMT",Two Injured in Fairfield Construction Site Collapse Wednesday Morning - TAPinto.net,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
58,EHS Daily Advisor,"Thu, 26 May 2022 07:00:00 GMT",Faces of EHS: Kevin Kirk on the Importance of Inclusion and Communication - EHS Daily Advisor - EHS Daily Advisor,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
59,Lexology,"Mon, 16 May 2022 07:00:00 GMT",The Building Safety Act 2022: what building owners and developers need to know - Lexology,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
60,Chicago Construction News,"Sun, 15 May 2022 07:00:00 GMT",60 NWI construction companies recognized for safety and project escellence - Chicago Construction News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
61,Spectrum News,"Wed, 18 May 2022 07:00:00 GMT",Push to introduce more students to construction - Spectrum News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
62,The Times of Northwest Indiana,"Mon, 23 May 2022 07:00:00 GMT",Region companies honored for attention to safety | Northwest Indiana Business Headlines | nwitimes.com - The Times of Northwest Indiana,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
63,"Planning, BIM & Construction Today","Mon, 23 May 2022 07:00:00 GMT","Project management qualifications for construction & planning professionals - Planning, BIM & Construction Today",null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
64,Canadian Occupational Safety,"Mon, 09 May 2022 07:00:00 GMT",Revealed: Top Women in Safety 2022 - Canadian Occupational Safety,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
65,Engineering News-Record,"Wed, 18 May 2022 07:00:00 GMT",First Model Code Specific to Temporary Structures Out for Public Comment - Engineering News-Record,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-05-31+after:2022-05-01
66,Construction Dive,"Thu, 14 Apr 2022 07:00:00 GMT",Here comes the sun: OSHA launches new program for heat safety - Construction Dive,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
67,Associated Builders and Contractors,"Fri, 29 Apr 2022 07:00:00 GMT",ABC 2022 Safety Performance Report: Top-Performing STEP Members Are Six Times Safer Than Industry Average | News Releases - Associated Builders and Contractors,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
68,Media Statements,"Tue, 26 Apr 2022 07:00:00 GMT",Works begin on Australian first Satellite Hospitals program in the Redlands - Media Statements,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
69,Scottish Housing News,"Tue, 12 Apr 2022 07:00:00 GMT",New study shows Modern Methods of Construction can reduce health and safety hazard exposure by 20% - Scottish Housing News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
70,The Manufacturer,"Mon, 25 Apr 2022 07:00:00 GMT",The Vita Group celebrates dual safety award wins - The Manufacturer,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
71,WSLS 10,"Mon, 11 Apr 2022 07:00:00 GMT",VDOT shares close-call experiences during National Work Zone Awareness Week - WSLS 10,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-04-30+after:2022-04-01
72,EHS Today,"Mon, 07 Mar 2022 08:00:00 GMT",A Spotlight on Women in Construction and Safety - EHS Today,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-03-31+after:2022-03-01
73,Construction Dive,"Wed, 16 Mar 2022 07:00:00 GMT",Construction Safety Week Announces 2022 Dates and Theme - Construction Dive,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-03-31+after:2022-03-01
74,NSW Government,"Wed, 16 Mar 2022 07:00:00 GMT",$790 million Liverpool hospital transformation begins - NSW Government,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-03-31+after:2022-03-01
75,KUTV 2News,"Wed, 16 Mar 2022 07:00:00 GMT",Construction company says operator recovering in good condition after drill rig collapse - KUTV 2News,null,grey_lit:title,news_scrapper_2.py,construction,20220929T203518,q=costruction%20AND%20(injury%20OR%20safety%20OR%20health%20OR%20accident%20OR%20stress%20OR%20risk%20OR%20ohs)+before:2022-03-31+after:2022-03-01
