,rec_id,title_word,stem,lem,POS
65,7,dividend,dividend,dividend,NN
66,7,builderandrew,builderandrew,builderandrew,VBD
67,7,hamilton,hamilton,hamilton,JJ
68,7,livewirelivewire,livewirelivewir,livewirelivewire,NN
69,7,markets,market,market,NNS
70,8,jarrell,jarrel,jarrell,NN
71,8,emphasizes,emphas,emphasizes,VBZ
72,8,leadership,leadership,leadership,NN
73,8,development,develop,development,NN
74,8,qa,qa,qa,NN
75,8,eventthe,eventth,eventthe,NN
76,8,elm,elm,elm,NN
77,9,dow,dow,dow,JJ
78,9,chemical,chemic,chemical,NN
79,9,stocks,stock,stock,NNS
80,9,buy,buy,buy,VBP
81,9,fall,fall,fall,NN
82,9,avoidstocknews.com,avoidstocknews.com,avoidstocknews.com,NN
83,10,uav,uav,uav,JJ
84,10,surveys,survey,survey,NNS
85,10,help,help,help,VBP
86,10,port,port,port,VB
87,10,rotterdam,rotterdam,rotterdam,NN
88,10,expandgim,expandgim,expandgim,IN
89,10,international,intern,international,JJ
90,11,blackrock,blackrock,blackrock,NN
91,11,qontigos,qontigo,qontigos,NNS
92,11,recent,recent,recent,JJ
93,11,collaboration,collabor,collaboration,NN
94,11,ishares,ishar,ishares,VBZ
95,11,multi-factor,multi-factor,multi-factor,JJ
96,11,etfs,etf,etf,JJ
97,11,track,track,track,NN
98,11,stoxx,stoxx,stoxx,NN
99,11,indices,indic,index,NNS
100,11,deliver,deliv,deliver,VB
101,11,consistent,consist,consistent,JJ
102,11,risk-managed,risk-manag,risk-managed,JJ
103,11,exposure,exposur,exposure,NN
104,11,portfolios,portfolio,portfolio,NNS
105,11,coreetf,coreetf,coreetf,VBP
106,11,express,express,express,NN
107,12,manufactured,manufactur,manufactured,VBN
108,12,housing,hous,housing,NN
109,12,supply,suppli,supply,NN
110,12,financing,financ,financing,VBG
111,12,featuring,featur,featuring,VBG
112,12,hud,hud,hud,JJ
113,12,fha,fha,fha,NN
114,12,webinarrespa,webinarrespa,webinarrespa,NN
115,12,news,news,news,NN
116,13,much,much,much,JJ
117,13,cost,cost,cost,NN
118,13,buy,buy,buy,VBP
119,13,mobile,mobil,mobile,JJ
120,13,homeforbes,homeforb,homeforbes,NN
121,14,job,job,job,NN
122,14,fair,fair,fair,JJ
123,14,mount,mount,mount,NN
124,14,vernon,vernon,vernon,NN
125,14,residents,resid,resident,NNS
126,14,kicks,kick,kick,VBZ
127,14,new,new,new,JJ
128,14,city,citi,city,NN
129,14,employment,employ,employment,NN
130,14,initiativethe,initiativeth,initiativethe,JJ
131,14,journal,journal,journal,NN
132,14,news,news,news,NN
133,15,china-mauritius,china-mauritiu,china-mauritius,JJ
134,15,free,free,free,JJ
135,15,agreement,agreement,agreement,NN
136,15,opportunities,opportun,opportunity,NNS
137,15,servicesinternational,servicesintern,servicesinternational,JJ
138,15,trade,trade,trade,VBP
139,15,trade,trade,trade,NN
140,15,investmentmauritiusmondaq,investmentmauritiusmondaq,investmentmauritiusmondaq,NN
141,16,sixty,sixti,sixty,NN
142,16,tanzanians,tanzanian,tanzanian,NNS
143,16,benefit,benefit,benefit,VBP
144,16,south,south,south,JJ
145,16,korean,korean,korean,JJ
146,16,scholarshipsthe,scholarshipsth,scholarshipsthe,NN
147,16,citizen,citizen,citizen,NN
148,17,housing,hous,housing,NN
149,17,association,associ,association,NN
150,17,regulatory,regulatori,regulatory,JJ
151,17,reform,reform,reform,NN
152,17,spotlights,spotlight,spotlight,NNS
153,17,years,year,year,NNS
154,17,manufactured,manufactur,manufactured,VBN
155,17,manufactured,manufactur,manufactured,VBD
156,17,homeein,homeein,homeein,RB
157,17,news,news,news,NN
158,18,clinton,clinton,clinton,NN
159,18,crossings,cross,crossing,NNS
160,18,complex,complex,complex,JJ
161,18,gets,get,get,VBZ
163,18,million,million,million,CD
164,18,offerrochester,offerrochest,offerrochester,NN
165,18,beaconrochester,beaconrochest,beaconrochester,NN
166,18,beacon,beacon,beacon,NN
167,19,drivers,driver,driver,NNS
168,19,watch,watch,watch,VBP
169,19,nascar,nascar,nascar,RB
170,19,cup,cup,cup,JJ
171,19,series,seri,series,NN
172,19,race,race,race,NN
173,19,kansas,kansa,kansa,NNP
174,19,speedwaynascar,speedwaynascar,speedwaynascar,NN
175,19,nbc,nbc,nbc,NN
176,19,sports,sport,sport,NNS
177,20,padres,padr,padre,NNS
178,20,month,month,month,NN
179,20,avoid,avoid,avoid,VBP
180,20,humiliationdefector,humiliationdefector,humiliationdefector,NN
181,21,high,high,high,JJ
182,21,demand,demand,demand,NN
183,21,workone,workon,workone,NN
184,21,seeks,seek,seek,VBZ
185,21,help,help,help,NN
186,21,women,women,woman,NNS
187,21,entering,enter,entering,VBG
188,21,workforceterre,workforceterr,workforceterre,JJ
189,21,haute,haut,haute,NN
190,21,tribune,tribun,tribune,NN
191,21,star,star,star,NN
192,22,african,african,african,JJ
193,22,countries,countri,country,NNS
194,22,growing,grow,growing,VBG
195,22,relations,relat,relation,NNS
196,22,china,china,china,VBP
197,22,legacy,legaci,legacy,NN
198,22,real,real,real,JJ
199,22,development,develop,development,NN
200,22,hopelessnessmodern,hopelessnessmodern,hopelessnessmodern,NN
201,22,ghana,ghana,ghana,NN
202,23,t.,t.,t.,NN
203,23,rowe,row,rowe,NN
204,23,prices,price,price,NNS
205,23,vohora,vohora,vohora,FW
206,23,careerinvestment,careerinvest,careerinvestment,NN
207,23,week,week,week,NN
208,24,assam,assam,assam,JJ
209,24,police,polic,police,NNS
210,24,ask,ask,ask,VB
211,24,private,privat,private,JJ
212,24,madrasas,madrasa,madrasa,NNS
213,24,upload,upload,upload,JJ
214,24,detailsdeccan,detailsdeccan,detailsdeccan,JJ
215,24,herald,herald,herald,NN
216,25,authorship,authorship,authorship,JJ
217,25,authority,author,authority,NN
218,25,contested,contest,contested,VBD
219,25,origins,origin,origin,NNS
220,25,dakars,dakar,dakar,NNS
221,25,african,african,african,JJ
222,25,renaissance,renaiss,renaissance,NN
223,25,monumentartnews,monumentartnew,monumentartnews,NNS
224,26,legacy,legaci,legacy,NN
225,26,housing,hous,housing,NN
226,26,quarterly,quarterli,quarterly,JJ
227,26,report,report,report,NN
228,26,quarter,quarter,quarter,NN
229,26,ending,end,ending,VBG
230,26,june,june,june,JJ
231,26,form,form,form,NN
232,26,-qmarketscreener.com,-qmarketscreener.com,-qmarketscreener.com,NN
233,27,fastenal,fasten,fastenal,JJ
234,27,company,compani,company,NN
235,27,announces,announc,announces,VBZ
236,27,conference,confer,conference,NN
237,27,call,call,call,NN
238,27,review,review,review,NN
239,27,third,third,third,JJ
240,27,quarter,quarter,quarter,NN
241,27,earningsfastenal,earningsfasten,earningsfastenal,JJ
242,27,nasdaqfastbenzinga,nasdaqfastbenzinga,nasdaqfastbenzinga,NN
243,28,speed,speed,speed,NN
244,28,limiters,limit,limiter,NNS
245,28,considered,consid,considered,VBN
246,28,ny,ny,ny,RB
247,28,never,never,never,RB
248,28,happen,happen,happen,VB
249,28,nj,nj,nj,RB
250,28,opinionnew,opinionnew,opinionnew,JJ
251,28,jersey,jersey,jersey,NN
253,28,fm,fm,fm,NN
254,29,success,success,success,NN
255,29,story,stori,story,NN
256,29,custom,custom,custom,NN
257,29,homes,home,home,NNS
258,29,sustainable,sustain,sustainable,JJ
259,29,blueprinttaosnews,blueprinttaosnew,blueprinttaosnews,NNS
260,30,former,former,former,JJ
261,30,barnegat,barnegat,barnegat,NN
262,30,man,man,man,NN
263,30,identified,identifi,identified,VBN
264,30,killer,killer,killer,NN
265,30,nj,nj,nj,NN
266,30,cold,cold,cold,VBD
267,30,casenew,casenew,casenew,JJ
268,30,jersey,jersey,jersey,NN
270,30,fm,fm,fm,NN
271,31,business-software,business-softwar,business-software,JJ
272,31,services,servic,service,NNS
273,31,stocks,stock,stock,NNS
274,31,watch,watch,watch,VBP
275,31,challenging,challeng,challenging,VBG
276,31,industryzacks,industryzack,industryzacks,NNS
277,31,investment,invest,investment,NN
278,31,research,research,research,NN
279,32,lighthouse,lighthous,lighthouse,NN
280,32,club,club,club,NN
281,32,joins,join,join,VBZ
282,32,hse,hse,hse,JJ
283,32,mental,mental,mental,JJ
284,32,campaignconstruction,campaignconstruct,campaignconstruction,NN
285,32,news,news,news,NN
286,33,warning,warn,warning,VBG
287,33,consequences,consequ,consequence,NNS
288,33,ehs,eh,ehs,JJ
289,33,negligence,neglig,negligence,NN
290,33,constructionbdc,constructionbdc,constructionbdc,NNS
291,33,magazine,magazin,magazine,NN
292,34,proposed,propos,proposed,VBN
293,34,changes,chang,change,NNS
294,34,manufactured,manufactur,manufactured,VBD
295,34,home,home,home,NN
296,34,construction,construct,construction,NN
297,34,safety,safeti,safety,NN
298,34,standardsjd,standardsjd,standardsjd,NN
299,34,supra,supra,supra,NN
300,35,construction,construct,construction,NN
301,35,robotics,robot,robotics,NNS
302,35,market,market,market,NN
303,35,size,size,size,NN
304,35,projected,project,projected,VBD
305,35,reach,reach,reach,NN
306,35,usd,usd,usd,JJ
307,35,million,million,million,CD
308,35,growing,grow,growing,VBG
309,35,cagr,cagr,cagr,JJ
310,35,straits,strait,strait,NNS
311,35,researchglobenewswire,researchglobenewswir,researchglobenewswire,VBP
312,36,qld,qld,qld,RB
313,36,premier,premier,premier,JJ
314,36,hits,hit,hit,NNS
315,36,cfmeu,cfmeu,cfmeu,VBP
316,36,protestthe,protestth,protestthe,JJ
317,36,murray,murray,murray,NN
318,36,valley,valley,valley,FW
319,36,standard,standard,standard,NN
320,37,city,citi,city,NN
321,37,erie,eri,erie,NN
322,37,shuts,shut,shuts,VBZ
323,37,frontier,frontier,frontier,JJR
324,37,park,park,park,NN
325,37,slides,slide,slide,NNS
326,37,citing,cite,citing,VBG
327,37,safety,safeti,safety,NN
328,37,possible,possibl,possible,JJ
329,37,lawsuitsgoerie.com,lawsuitsgoerie.com,lawsuitsgoerie.com,NN
330,38,one,one,one,CD
331,38,worker,worker,worker,NN
332,38,killed,kill,killed,VBD
333,38,another,anoth,another,DT
334,38,injured,injur,injured,JJ
335,38,scaffolding,scaffold,scaffolding,NN
336,38,collapsekhmer,collapsekhm,collapsekhmer,NN
337,38,times,time,time,NNS
338,39,balancing,balanc,balancing,VBG
339,39,old,old,old,JJ
340,39,safety,safeti,safety,NN
341,39,thinking,think,thinking,VBG
342,39,newengineering,newengin,newengineering,JJ
343,39,news-record,news-record,news-record,JJ
344,40,covid-,covid-,covid-,JJ
345,40,construction,construct,construction,NN
346,40,cpwr,cpwr,cpwr,NN
347,40,report,report,report,NN
348,40,highlights,highlight,highlight,NNS
349,40,pandemics,pandem,pandemic,NNS
350,40,impactssafetyhealth,impactssafetyhealth,impactssafetyhealth,VBP
351,40,magazine,magazin,magazine,NN
352,41,new,new,new,JJ
353,41,safety,safeti,safety,NN
354,41,view,view,view,NN
355,41,could,could,could,MD
356,41,work,work,work,VB
357,41,contructionengineering,contructionengin,contructionengineering,VBG
358,41,news-record,news-record,news-record,JJ
359,42,hud,hud,hud,NN
360,42,proposes,propos,proposes,VBZ
361,42,updates,updat,update,NNS
362,42,manufactured,manufactur,manufactured,VBD
363,42,home,home,home,NN
364,42,construction,construct,construction,NN
365,42,safety,safeti,safety,NN
366,42,standardshud,standardshud,standardshud,NN
367,43,wharton,wharton,wharton,NN
368,43,construction,construct,construction,NN
369,43,receives,receiv,receives,VBZ
370,43,awards,award,award,NNS
371,43,safety,safeti,safety,NN
372,43,excellencebusiness,excellencebusi,excellencebusiness,RB
373,43,north,north,north,JJ
374,44,perth,perth,perth,NN
375,44,expensive,expens,expensive,JJ
376,44,place,place,place,NN
377,44,build,build,build,VB
378,44,australia,australia,australia,JJ
379,44,turner,turner,turner,NN
380,44,townsend,townsend,townsend,VBP
381,44,survey,survey,survey,NN
382,44,findsabc,findsabc,findsabc,JJ
383,44,news,news,news,NN
384,45,disrupting,disrupt,disrupting,VBG
385,45,status,statu,status,NN
386,45,quoengineering,quoengin,quoengineering,VBG
387,45,news-record,news-record,news-record,NN
388,46,offsite,offsit,offsite,JJ
389,46,construction,construct,construction,NN
390,46,research,research,research,NN
391,46,roadmap,roadmap,roadmap,NN
392,46,hud,hud,hud,NN
393,46,hud,hud,hud,VBD
394,46,userhud,userhud,userhud,JJ
395,46,user,user,user,NN
396,47,improve,improv,improve,VB
397,47,workplace,workplac,workplace,NN
398,47,safety,safeti,safety,NN
399,47,smaller,smaller,smaller,JJR
400,47,construction,construct,construction,NN
401,47,firms,firm,firm,NNS
402,47,projects,project,project,NNS
403,47,prevent,prevent,prevent,VBP
404,47,deaths,death,death,NNS
405,47,manpower,manpow,manpower,JJR
406,47,ministercna,ministercna,ministercna,NN
407,48,watch,watch,watch,JJ
408,48,step,step,step,NN
409,48,best,best,best,JJS
410,48,practices,practic,practice,NNS
411,48,mitigate,mitig,mitigate,VBP
412,48,fall,fall,fall,NN
413,48,risks,risk,risk,NNS
414,48,worksitesoccupational,worksitesoccup,worksitesoccupational,JJ
415,48,safety,safeti,safety,NN
416,49,builders,builder,builder,NNS
417,49,veer,veer,veer,VBP
418,49,new,new,new,JJ
419,49,hard,hard,hard,JJ
420,49,hat,hat,hat,NN
421,49,designs,design,design,VBZ
422,49,stem,stem,stem,NN
423,49,worker,worker,worker,NN
424,49,head,head,head,NN
425,49,traumabloomberg,traumabloomberg,traumabloomberg,NN
426,49,law,law,law,NN
427,50,summit,summit,summit,NN
428,50,highlights,highlight,highlight,NNS
429,50,high,high,high,JJ
430,50,suicide,suicid,suicide,JJ
431,50,rate,rate,rate,NN
432,50,construction,construct,construction,NN
433,50,industrythe,industryth,industrythe,NN
434,50,colorado,colorado,colorado,JJ
435,50,colorado,colorado,colorado,NN
436,50,sun,sun,sun,NN
437,51,safety,safeti,safety,NN
438,51,reminders,remind,reminder,NNS
439,51,busy,busi,busy,JJ
440,51,road,road,road,NN
441,51,construction,construct,construction,NN
442,51,season,season,season,NN
443,51,newswxow.com,newswxow.com,newswxow.com,NN
444,52,ai,ai,ai,NN
445,52,transforming,transform,transforming,VBG
446,52,construction,construct,construction,NN
447,52,industry,industri,industry,NN
448,52,contractorcontractor,contractorcontractor,contractorcontractor,NN
449,52,magazine,magazin,magazine,NN
450,53,safety,safeti,safety,NN
451,53,improvements,improv,improvement,NNS
452,53,state,state,state,NN
453,53,highway,highway,highway,NN
454,53,scheduled,schedul,scheduled,VBD
455,53,begin,begin,begin,JJ
456,53,summeronfocus,summeronfocu,summeronfocus,NN
457,54,nyc,nyc,nyc,JJ
458,54,buildings,build,building,NNS
459,54,official,offici,official,JJ
460,54,challenges,challeng,challenge,NNS
461,54,construction,construct,construction,NN
462,54,stakeholders,stakehold,stakeholder,NNS
463,54,strengthen,strengthen,strengthen,VBP
464,54,safetysafetyhealth,safetysafetyhealth,safetysafetyhealth,NN
465,54,magazine,magazin,magazine,NN
466,55,safety,safeti,safety,NN
467,55,week,week,week,NN
468,55,emphasizes,emphas,emphasizes,VBZ
469,55,building,build,building,NN
470,55,back,back,back,RP
471,55,connectionsconstructconnect.comdaily,connectionsconstructconnect.comdaili,connectionsconstructconnect.comdaily,RB
472,55,commercial,commerci,commercial,JJ
473,55,news,news,news,NN
474,56,construction,construct,construction,NN
475,56,moving,move,moving,VBG
476,56,fast,fast,fast,RB
477,56,enough,enough,enough,RB
478,56,building,build,building,NN
479,56,safetybuilding,safetybuild,safetybuilding,VBG
480,57,shawmuts,shawmut,shawmuts,NNS
481,57,safety,safeti,safety,NN
482,57,week,week,week,NN
483,57,aimed,aim,aimed,VBN
484,57,mental,mental,mental,JJ
485,57,wellness,well,wellness,NN
486,57,alongside,alongsid,alongside,RB
487,57,physical,physic,physical,JJ
488,57,safetyconstruction,safetyconstruct,safetyconstruction,NN
489,57,specifierthe,specifierth,specifierthe,NN
490,57,construction,construct,construction,NN
491,57,specifier,specifi,specifier,NN
492,58,two,two,two,CD
493,58,injured,injur,injured,JJ
494,58,fairfield,fairfield,fairfield,NN
495,58,construction,construct,construction,NN
496,58,site,site,site,NN
497,58,collapse,collaps,collapse,NN
498,58,wednesday,wednesday,wednesday,JJ
499,58,morningtapinto.net,morningtapinto.net,morningtapinto.net,NN
500,59,faces,face,face,VBZ
501,59,ehs,eh,ehs,NN
502,59,kevin,kevin,kevin,NN
503,59,kirk,kirk,kirk,NN
504,59,importance,import,importance,NN
505,59,inclusion,inclus,inclusion,NN
506,59,communicationehs,communicationeh,communicationehs,VBD
507,59,advisorehs,advisoreh,advisorehs,JJ
508,59,daily,daili,daily,JJ
509,59,advisor,advisor,advisor,NN
510,60,safety,safeti,safety,NN
511,60,act,act,act,NN
512,60,building,build,building,NN
513,60,owners,owner,owner,NNS
514,60,developers,develop,developer,NNS
515,60,need,need,need,VBP
516,60,knowlexology,knowlexolog,knowlexology,NN
517,61,nwi,nwi,nwi,JJ
518,61,companies,compani,company,NNS
519,61,recognized,recogn,recognized,VBD
520,61,safety,safeti,safety,NN
521,61,project,project,project,NN
522,61,escellencechicago,escellencechicago,escellencechicago,VBZ
523,61,construction,construct,construction,NN
524,61,news,news,news,NN
525,62,push,push,push,NN
526,62,introduce,introduc,introduce,NN
527,62,students,student,student,NNS
528,62,constructionspectrum,constructionspectrum,constructionspectrum,VBP
529,62,news,news,news,NN
530,63,region,region,region,NN
531,63,companies,compani,company,NNS
532,63,honored,honor,honored,VBD
533,63,attention,attent,attention,NN
534,63,safety,safeti,safety,NN
535,63,business,busi,business,NN
536,63,headlines,headlin,headline,NNS
537,63,nwitimes.comthe,nwitimes.comth,nwitimes.comthe,RB
538,63,times,time,time,NNS
539,63,northwest,northwest,northwest,RB
540,63,indiana,indiana,indiana,JJ
541,63,indiana,indiana,indiana,VBP
542,64,project,project,project,NN
543,64,management,manag,management,NN
544,64,qualifications,qualif,qualification,NNS
545,64,planning,plan,planning,VBG
546,64,professionalsplanning,professionalsplan,professionalsplanning,VBG
547,64,bim,bim,bim,JJ
548,64,construction,construct,construction,NN
549,64,today,today,today,NN
550,65,revealed,reveal,revealed,VBN
551,65,top,top,top,JJ
552,65,women,women,woman,NNS
553,65,canadian,canadian,canadian,JJ
554,65,occupational,occup,occupational,JJ
555,65,safety,safeti,safety,NN
556,66,first,first,first,RB
557,66,model,model,model,NN
558,66,code,code,code,NN
559,66,specific,specif,specific,JJ
560,66,temporary,temporari,temporary,JJ
561,66,structures,structur,structure,NNS
562,66,public,public,public,JJ
563,66,commentengineering,commentengin,commentengineering,VBG
564,66,news-record,news-record,news-record,NN
565,67,comes,come,come,VBZ
566,67,sun,sun,sun,JJ
567,67,osha,osha,osha,JJ
568,67,launches,launch,launch,VBZ
569,67,new,new,new,JJ
570,67,program,program,program,NN
571,67,heat,heat,heat,NN
572,67,safetyconstruction,safetyconstruct,safetyconstruction,NN
573,67,dive,dive,dive,NN
574,68,abc,abc,abc,JJ
575,68,safety,safeti,safety,NN
576,68,performance,perform,performance,NN
577,68,report,report,report,NN
578,68,top-performing,top-perform,top-performing,JJ
579,68,step,step,step,NN
580,68,members,member,member,NNS
581,68,six,six,six,CD
582,68,times,time,time,NNS
583,68,safer,safer,safer,VBP
584,68,industry,industri,industry,NN
585,68,average,averag,average,JJ
586,68,news,news,news,NN
587,68,releasesassociated,releasesassoci,releasesassociated,VBD
588,68,builders,builder,builder,NNS
589,68,contractors,contractor,contractor,NNS
590,69,works,work,work,NNS
591,69,begin,begin,begin,VBP
592,69,australian,australian,australian,JJ
593,69,first,first,first,JJ
594,69,satellite,satellit,satellite,JJ
595,69,hospitals,hospit,hospital,NNS
596,69,program,program,program,NN
597,69,redlandsmedia,redlandsmedia,redlandsmedia,NN
598,69,statements,statement,statement,NNS
599,70,new,new,new,JJ
600,70,study,studi,study,NN
601,70,shows,show,show,NNS
602,70,modern,modern,modern,VBP
603,70,methods,method,method,NNS
604,70,construction,construct,construction,NN
605,70,reduce,reduc,reduce,VB
606,70,safety,safeti,safety,NN
607,70,hazard,hazard,hazard,NN
608,70,exposure,exposur,exposure,NN
609,70,scottish,scottish,scottish,JJ
610,70,housing,hous,housing,NN
611,70,news,news,news,NN
612,71,vita,vita,vita,NNS
613,71,group,group,group,NN
614,71,celebrates,celebr,celebrates,VBZ
615,71,dual,dual,dual,JJ
616,71,safety,safeti,safety,NN
617,71,award,award,award,IN
618,71,winsthe,winsth,winsthe,JJ
619,71,manufacturer,manufactur,manufacturer,NN
620,72,vdot,vdot,vdot,JJ
621,72,shares,share,share,NNS
622,72,close-call,close-cal,close-call,JJ
623,72,experiences,experi,experience,NNS
624,72,national,nation,national,JJ
625,72,work,work,work,NN
626,72,zone,zone,zone,NN
627,72,awareness,awar,awareness,NN
628,72,weekwsls,weekwsl,weekwsls,NN
629,73,spotlight,spotlight,spotlight,JJ
630,73,women,women,woman,NNS
631,73,construction,construct,construction,NN
632,73,safetyehs,safetyeh,safetyehs,NN
633,73,today,today,today,NN
634,74,construction,construct,construction,NN
635,74,safety,safeti,safety,NN
636,74,week,week,week,NN
637,74,announces,announc,announces,NNS
638,74,dates,date,date,VBZ
639,74,themeconstruction,themeconstruct,themeconstruction,NN
640,74,dive,dive,dive,NN
641,75,million,million,million,CD
642,75,liverpool,liverpool,liverpool,JJ
643,75,hospital,hospit,hospital,NN
644,75,transformation,transform,transformation,NN
645,75,beginsnsw,beginsnsw,beginsnsw,NN
646,76,construction,construct,construction,NN
647,76,company,compani,company,NN
648,76,says,say,say,VBZ
649,76,operator,oper,operator,NN
650,76,recovering,recov,recovering,VBG
651,76,good,good,good,JJ
652,76,condition,condit,condition,NN
653,76,drill,drill,drill,VB
654,76,rig,rig,rig,NN
655,76,collapsekutv,collapsekutv,collapsekutv,NN
656,76,news,news,news,NN
657,77,crane,crane,crane,NN
658,77,collapses,collaps,collapse,NNS
659,77,onto,onto,onto,IN
660,77,cars,car,car,NNS
661,77,state,state,state,NN
662,77,street,street,street,NN
663,77,salt,salt,salt,VBD
664,77,lake,lake,lake,JJ
665,77,citykjzz,citykjzz,citykjzz,NN
666,78,safety,safeti,safety,NN
667,78,heart,heart,heart,NN
668,78,road,road,road,NN
669,78,bridge,bridg,bridge,NN
670,78,construction,construct,construction,NN
671,78,i-,i-,i-,NN
672,78,near,near,near,IN
673,78,opelika,opelika,opelika,FW
674,78,ala.,ala.,ala.,JJ
675,78,cegconstruction,cegconstruct,cegconstruction,NN
676,78,equipment,equip,equipment,NN
677,78,guide,guid,guide,NN
678,79,community,commun,community,NN
679,79,feedback,feedback,feedback,RB
680,79,wanted,want,wanted,VBD
681,79,cbd,cbd,cbd,JJ
682,79,amenity,amen,amenity,NN
683,79,upgradebundaberg,upgradebundaberg,upgradebundaberg,NN
684,80,building,build,building,NN
685,80,materials,materi,material,NNS
686,80,harmful,harm,harmful,VBP
687,80,healtharchdaily,healtharchdaili,healtharchdaily,RB
688,81,abc,abc,abc,JJ
689,81,construction,construct,construction,NN
690,81,industry,industri,industry,NN
691,81,faces,face,face,VBZ
692,81,workforce,workforc,workforce,JJ
693,81,shortage,shortag,shortage,NN
694,81,news,news,news,NN
695,81,releasesassociated,releasesassoci,releasesassociated,VBD
696,81,builders,builder,builder,NNS
697,81,contractors,contractor,contractor,NNS
698,82,florida,florida,florida,JJ
699,82,chamber,chamber,chamber,NN
700,82,safety,safeti,safety,NN
701,82,council,council,council,NN
702,82,campaign,campaign,campaign,NN
703,82,takes,take,take,VBZ
704,82,aim,aim,aim,JJ
705,82,construction,construct,construction,NN
706,82,worker,worker,worker,NN
707,82,deathssafetyhealth,deathssafetyhealth,deathssafetyhealth,NN
708,82,magazine,magazin,magazine,NN
709,83,rebuilding,rebuild,rebuilding,VBG
710,83,in-person,in-person,in-person,JJ
711,83,insurance,insur,insurance,NN
712,83,industry,industri,industry,NN
713,83,events,event,event,NNS
714,83,happened,happen,happened,VBD
715,83,irmis,irmi,irmis,JJ
716,83,st,st,st,JJ
717,83,annual,annual,annual,JJ
718,83,construction,construct,construction,NN
719,83,risk,risk,risk,NN
720,83,conferenceworkers,conferencework,conferenceworkers,NNS
721,83,comp,comp,comp,VBP
722,83,forum,forum,forum,NN
723,84,u.s.,u.s.,u.s.,JJ
724,84,labor,labor,labor,NN
725,84,stakeholders,stakehold,stakeholder,NNS
726,84,sign,sign,sign,VBP
727,84,partnership,partnership,partnership,NN
728,84,agreement,agreement,agreement,NN
729,84,train,train,train,NN
730,84,protect,protect,protect,JJ
731,84,workers,worker,worker,NNS
732,84,obama,obama,obama,VBP
733,84,presidential,presidenti,presidential,JJ
734,84,center,center,center,NN
735,84,construction,construct,construction,NN
736,84,hazardsoccupational,hazardsoccup,hazardsoccupational,JJ
737,84,safety,safeti,safety,NN
738,85,role,role,role,NN
739,85,digital,digit,digital,JJ
740,85,construction,construct,construction,NN
741,85,technology,technolog,technology,NN
742,85,improving,improv,improving,VBG
743,85,fire,fire,fire,NN
744,85,safety,safeti,safety,NN
745,85,inspectionsshponline,inspectionsshponlin,inspectionsshponline,NN
746,86,construction,construct,construction,NN
747,86,industry,industri,industry,NN
748,86,shut,shut,shut,VBD
749,86,two,two,two,CD
750,86,weeks,week,week,NNS
751,86,clashes,clash,clash,VBZ
752,86,cfmeuthe,cfmeuth,cfmeuthe,JJ
753,86,age,age,age,NN
754,87,worker,worker,worker,NN
755,87,dies,die,dy,VBZ
756,87,parramatta,parramatta,parramatta,JJ
757,87,construction,construct,construction,NN
758,87,sitesydney,sitesydney,sitesydney,NN
759,87,morning,morn,morning,NN
760,87,herald,herald,herald,NN
761,88,construction,construct,construction,NN
