,source,published,title,abstract,type,scrapper,label,query_date,query_pattern
10,PLOS ONE,2022-08-26T00:00:00Z,Preliminary study on a novel dedicated plate for iliac fractures in dogs,"['Introduction: The aim of this study was to describe and evaluate a novel plate designed specifically for the canine ilium using finite element methods. The cranial portion of the plate had an elliptical shape and contained nine screw holes. The caudal portion of the plate was triangular with three screw holes. Four and three screws were used at the cranial (screw 1 to 4) and caudal (screw 5 to 7) segment of the plate. Finite element models of the plate and canine pelvis were created. A load of 300 N was applied on the femur-hip joint contact area. Values of Von Mises Stress on the plate, screws and the maximum and minimum main stresses in the bone were used to capture the mechanical factors in this study. Results: The novel implant had a plate stress of 51.9 megapascals (MPa) with higher stress in the dorsal part of the plate. Screws 2 and 4 showed similar stress values of 17.3 MPa. Screws 1 and 3 were the most loaded (51.9 MPa and 75 MPa, respectively). Screws 5, 6, and 7 showed similar dissipation and stress values (21.55 MPa). There was traction force in the dorsal region of the pubis and compression in the ventral part, with dissipation and values of 15.4 MPa and 23.9 MPa, respectively, acquiring balance between them. Conclusion: The novel plate is potentially applicable and specifically suitable for iliac fractures in dogs. The screws distribution modeled proved itself strategical since the simulated stresses were evenly distributed throughout the implant construct. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
11,PLOS ONE,2022-08-17T00:00:00Z,A new approach to constructing confidence intervals for population means based on small samples,"['\nThis paper presents a new approach to constructing the confidence interval for the mean value of a population when the distribution is unknown and the sample size is small, called the Percentile Data Construction Method (PDCM). A simulation was conducted to compare the performance of the PDCM confidence interval with those generated by the Percentile Bootstrap (PB) and Normal Theory (NT) methods. Both the convergence probability and average interval width criterion are considered when seeking to find the best interval. The results show that the PDCM outperforms both the PB and NT methods when the sample size is less than 30 or a large population variance exists.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
12,PLOS ONE,2022-08-30T00:00:00Z,Factors influencing the elderly’s behavioural intention to use smart home technologies in Saudi Arabia,"['\nIn recent years, smart home technologies have offered opportunities for elderly people to manage their daily health-related activities. Despite the advancement in smart home technology (SHT), the level of end-user acceptance among elderly people is still low. This study proposes an SHT framework by examining the determinants of elderly behavioural intention (BI) to use smart home technologies by extending the Unified Theory of Acceptance and Use of Technology (UTAUT) model. This study uses the quantitative approach to survey about 486 elderly people in Saudi Arabia, and it applies the Partial Least Square Structural Equation Model (PLS-SEM) technique to perform the data analysis. Findings reveal that culture influence and technology awareness are significant factors in determining the BI to use SHT among elderly people. The study also finds that attitude mediates the relationships between performance expectancy, effort expectancy, and behavioural intention. We find that region and education moderate the relationships between culture influence, technology awareness, and behavioural intention. This study theoretically extends the UTAUT theory by including external constructs: culture influence, technology awareness, attitude, education, and region.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
13,PLOS ONE,2022-08-30T00:00:00Z,The application of allostasis and allostatic load in animal species: A scoping review,"['\nPrinciples of allostasis and allostatic load have been widely applied in human research to assess the impacts of chronic stress on physiological dysregulation. Over the last few decades, researchers have also applied these concepts to non-human animals. However, there is a lack of uniformity in how the concept of allostasis is described and assessed in animals. The objectives of this review were to: 1) describe the extent to which the concepts of allostasis and allostatic load are applied theoretically to animals, with a focus on which taxa and species are represented; 2) identify when direct assessments of allostasis or allostatic load are made, which species and contexts are represented, what biomarkers are used, and if an allostatic load index was constructed; and 3) detect gaps in the literature and identify areas for future research. A search was conducted using CABI, PubMed, Agricola, and BIOSIS databases, in addition to a complementary hand-search of 14 peer-reviewed journals. Search results were screened, and articles that included non-human animals, as well as the terms “allostasis” or “allostatic” in the full text, were included. A total of 572 articles met the inclusion criteria (108 reviews and 464 peer-reviewed original research). Species were represented across all taxa. A subset of 63 publications made direct assessments of allostatic load. Glucocorticoids were the most commonly used biomarker, and were the only biomarker measured in 25 publications. Only six of 63 publications (9.5%) constructed an allostatic load index, which is the preferred methodology in human research. Although concepts of allostasis and allostatic load are being applied broadly across animal species, most publications use single biomarkers that are more likely indicative of short-term rather than chronic stress. Researchers are encouraged to adopt methodologies used in human research, including the construction of species-specific allostatic load indexes.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
14,PLOS ONE,2022-08-16T00:00:00Z,Determinants predicting the electronic medical record adoption in healthcare: A SEM-Artificial Neural Network approach,"['\nAn Electronic Medical Record (EMR) has the capability of promoting knowledge and awareness regarding healthcare in both healthcare providers and patients to enhance interconnectivity within various government bodies, and quality healthcare services. This study aims at investigating aspects that predict and explain an EMR system adoption in the healthcare system in the UAE through an integrated approach of the Unified Theory of Acceptance and Use of Technology (UTAUT), and Technology Acceptance Model (TAM) using various external factors. The collection of data was through a cross-section design and survey questionnaires as the tool for data collection among 259 participants from 15 healthcare facilities in Dubai. The study further utilised the Artificial Neural Networks (ANN) algorithm and the Partial Least Squares Structural Equation Modeling (PLS-SEM) in the analysis of the data collected. The study’s data proved that the intention of using an EMR system was the most influential and predictor of the actual use of the system. It was also found that TAM construct was directly influenced by anxiety, innovativeness, self-efficacy, and trust. The behavioural intention of an individual regarding EMR was also proved to positively influence the use of an EMR system. This study proves to be useful practically by providing healthcare decision-makers with a guide on factors to consider and what to avoid when implementing strategies and policies.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
15,PLOS ONE,2022-08-26T00:00:00Z,"Fractal analysis highlights analogies in arenaceous tubes of Sabellaria alveolata (Metazoa, Polychaeta) and agglutinated tests of foraminifera (Protista)","['\nBioconstructions of Sabellaria alveolata (Polychaeta Sabellariidae) from southern Sicily (Central Mediterranean) were sampled and analysed through a multidisciplinary approach in order to unravel the construction pattern of arenaceous tubes and explore possible analogies existing between the worm tubes and the agglutinated tests of benthic foraminifera (Protista). Scanning Electron Microscopy and Energy Dispersive Spectroscopy analyses were carried out on entire tubes as well as sectioned ones. Results show that arenaceous tubes are built following a rigorous architectural framework, based on selection and methodical arrangement of the agglutinated grains, and show surprising analogies with the test microstructure previously observed in agglutinated foraminifera. The grain distribution detected in both model species bioconstructions was analysed using a fractal numerical model (Hausdorff fractal dimension). Collected data show that in both organisms the grains were distributed according to a fractal model, indicating that the evolutionary process may have led to finding the same optimal constructive strategy across organisms with an independent evolutionary history, notwithstanding different geometrical scales. Furthermore, in sectioned tubes we observed microplastic fragments agglutinated within the arenaceous wall and in the inter-tube area. This unexpected finding shows that marine animals can be affected by microplastic pollution not only in soft tissues, but also engineered hard structures, and suggests the problem is more pervasive than estimated so far.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
16,PLOS ONE,2022-08-17T00:00:00Z,A logistic regression model based on inpatient health records to predict drug-induced liver injury caused by ramipril—An angiotensin-converting enzyme inhibitor,"['\nDrug-induced liver injury (DILI) is a rare side effect of angiotensin-converting enzyme inhibitors (ACEIs). Ramipril is a widely used ACE compound because of its effectiveness in the treatment of hypertension and heart failure, as well as its low risk of adverse effects. However, the clinical features of ramipril, and the risk of DILI, have not been adequately studied. A retrospective cohort study was performed based on data from 3909 inpatients to compare the risk of DILI conferred by ramipril and other ACEIs. A logistic regression model was then constructed and validated against data from 1686 patients using ramipril, of which 117 patients were diagnosed with DILI. The use of ramipril increased the risk of DILI by 2.68 times (odds ratio = 2.68; 95% confident interval (CI):1.96–3.71) compared with the group using other ACEIs. The clinical features of DILI in the ramipril group were similar to those from the ACEI group (P>0.05), except that the ALT level was higher (P<0.05). A logistic regression model including Body mass index (BMI), comorbidity, liver disease, daily dose, alanine aminotransferase (ALT), and alkaline phosphatase (ALP) was built and successfully validated for DILI risk prediction, with the area under the receiver operating characteristic curve of the model of 0.82 (95% CI: 0.752–0.888). We recommend that clinicians should be aware of the levels of ALT and ALP as well as BMI, comorbidities, and liver disease before prescribing ramipril to avoid the risk of DILI in patients.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
17,PLOS ONE,2022-08-17T00:00:00Z,Identifying the knowledge structure of electromagnetic fields and health research: Text network analysis and topic modeling,"['Background: With technological and scientific advancement, people are being increasingly exposed to electromagnetic fields, particularly from portable devices such as mobile phones. However, there is currently no consensus regarding the health effects of electromagnetic field exposure, despite the large amount of research conducted on this topic. This study aimed to understand the knowledge structure and trend of electromagnetic field and health research through text network analysis and topic modeling. Methods: PubMed, Embase, and Cochrane were searched, and 3,880 articles published before June 2021 were identified. We explored the main keywords and research topics regarding electromagnetic fields and human health by constructing a network of keywords. A social network analysis program was used to analyze the data, visualize the network, and perform topic modeling. Results: Four keywords, “exposure,” “effect,” “cell,” and “cancer,” were highly correlated to other keywords and formed each colony in the knowledge structure of research on electromagnetic fields and health. Five topics were derived from topic modeling: cell research, research on the adaption of MRI, health effects of mobile phones, pain therapy, and exposure measurement. Cell research has been continuously performed, and many studies have been conducted on the health effects of mobile phones since 2000. Conclusions: These findings will assist in gaining insights into and understanding changes in research on the health effects of electromagnetic fields, and suggest important areas and directions for future research. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
18,PLOS ONE,2022-08-25T00:00:00Z,"Brands, networks, communities: How brand names are wired in the mind","['\nBrands can be defined as psychological constructs residing in our minds. By analyzing brand associations, we can study the mental constructs around them. In this paper, we study brands as parts of an associative network based on a word association database. We explore the communities–closely-knit groups in the mind–around brand names in this structure using two community detection algorithms in the Hungarian word association database ConnectYourMind. We identify brand names inside the communities of a word association network and explain why these brand names are part of the community. Several detected communities contain brand names from the same product category, and the words in these categories were connected either to brands in the category or to words describing the product category. Based on our findings, we describe the mental position of brand names. We show that brand knowledge, product knowledge and real word knowledge interact with each other. We also show how the meaning of a product category arises and how this meaning is related to brand meaning. Our results suggest that words sharing the same community with brand names can be used in brand communication and brand positioning.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
19,PLOS ONE,2022-08-16T00:00:00Z,The devil is not as black as he is painted? On the positive relationship between food industry conspiracy beliefs and conscious food choices,"['\nPrevious research found that conspiracy beliefs were usually activated when individuals faced different types of psychological threats and that they led mainly to maladaptive individual and societal outcomes. In this research, we assumed that potential harmfulness of conspiracy beliefs may depend on the context, and we focused on the link between food industry conspiracy beliefs and conscious food choices. We hypothesized that food industry conspiracy beliefs may allow for a constructive attempt to protect oneself against real or imagined enemies (i.e., food industry companies) by conscious food choices (e.g., paying attention to how much the food products are processed). We tested this hypothesis among Polish participants (Study 1; N = 608; cross-sectional and Study 2; N = 790; experimental). Study 1 confirmed that context-specific conspiracy beliefs (but not general notions of conspiracy) are associated with adaptive consumer behaviors. Study 2 showed that inducing feelings of threat related to the possibility of purchasing food contaminated by a harmful bacteria (vs. control condition) increased food industry conspiracy beliefs, which were further positively linked to conscious food choices. We discuss the role of threat and conspiracy beliefs in adaptive consumer behaviors related to food choices.\n']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
20,PLOS ONE,2022-08-04T00:00:00Z,Psychometric properties of the item-reduced version of the comprehensive general parenting questionnaire for caregivers of preschoolers in a Finnish context,"['Introduction: Many instruments for assessing general parenting have been reported as burdensome and are thus seldom used in studies exploring children’s energy balance-related behaviors or weight. This study evaluates the factorial structure of the item-reduced version of the Comprehensive General Parenting Questionnaire (CGPQ), which assesses five constructs of general parenting. Methods: The study uses data from two cross-sectional studies: Study 1 in 2014 (n = 173) and Study 2 in 2015–16 (n = 805). Parents of children aged three to six answered the CGPQ; in Study 1 the 69-item version, and in Study 2 the 29-item version. The reduction was based on the results of the confirmatory factor analyses (CFA) in Study 1. In both datasets, internal consistency, as Cronbach’s alphas and intraclass correlations between the items of each construct, was tested. A combined assessment of the CFA and items response theory evaluated the construct validity and the item importance for the 29-item version, and a further the reduced 22-item version. Results: In Study 1, the highest Cronbach’s alphas were shown for the five constructs in the 69-item version. A higher intraclass correlation was found between the constructs in the 69- and 29-item versions, than between the 69- and the 22-item version. However, a high concordance was found between the constructs in the 29- and 22-item versions in both Study 1 and in Study 2 (0.76–1.00). Testing the goodness-of-fit of the CFA models revealed that the 22-item model fulfilled all the criteria, showing that it had a better factorial structure than the 29-item model. Standard estimations ranged from 0.20 to 0.76 in the 22-item version. Conclusion: The reduced 22- and 29-item versions of the 69-item CGPQ showed good model fit, the 22-item version the better of the two. These short versions can be used to assess general parenting without overburdening the respondents. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
21,PLOS ONE,2022-08-19T00:00:00Z,Development and psychometric assessment of cutaneous leishmaniasis prevention behaviors questionnaire in adolescent female students: Application of integration of cultural model and extended parallel process model,"['Background: Cutaneous Leishmaniasis (CL) is an important public health issue in at least 83 countries, including Iran. Individuals’ behavior modification is believed to be one of the best ways for CL prevention. However, no comprehensive questionnaires have been psychoanalyzed for identification of CL prevention behaviors and its numerous associated factors, as well as the impact of educational messages. Thus, the present study was conducted to develop and psychometrically assess CL prevention behaviors questionnaire in female students. Methods: The present study was performed from October 2020 to May 2021 by developing a preliminary questionnaire based on integration of Cultural Model and Extended Parallel Process Model. The questionnaire was completed online by 460 adolescent female students living in endemic areas of Isfahan, Iran. Exploratory factor analysis was performed using SPSS 24 to ensure the construct validity. Internal reliability was assessed via Cronbach’s alpha and external reliability was determined using the test-retest method based on the intraclass correlation coefficient (ICC) index. Results: The first version of the questionnaire contains 110 items, out of which 82 remained according to content validity ratio (CVR) and content validity index (CVI) criteria. Afterwards, 11 items were removed due to low factor load in the construct validity process using the factor analysis technique. Ultimately, a 71-items questionnaire was developed and 12 factors were extracted from it. According to Cronbach’s alpha index, the internal reliability for the questionnaire was 0.877 and the ICC index calculated the external reliability as 0.833. Conclusions: Integration of a Cultural Model with individual model was used for the first time to measure the factors related to CL prevention behaviors in this questionnaire; owing to the strength of the factor structure and appropriate psychometric properties, the questionnaire is applicable in the evaluation process of educational interventions concerning CL prevention, especially in female students. ']",academic:abstract,plos_scrapper.py,construction,20220928T101606,(abstract:construction) AND (injury OR safety OR health OR accident OR stress OR risk OR ohs) NOT (abstract:protein)
